trt,rep,dias,verdor,e1_sev,e2_sev
1,1,0,90.6666666666667,0.705882352941176,1.45588235294118
1,1,9,88.6666666666667,4.6125,3.7125
1,1,20,86.6666666666667,4.69551282051282,6.46031746031746
1,1,29,95,6.6406015037594,1.05263157894737
1,2,0,90.6666666666667,0.705882352941176,1.45588235294118
1,2,9,95.3333333333333,4.66875,4.675
1,2,20,100,6.85333333333333,3
1,2,29,75,6.25,0
1,3,0,90.6666666666667,0.705882352941176,1.45588235294118
1,3,9,90.3333333333333,4.4041706054753,2.816584077281
1,3,20,90,4.25843621399177,2.25608465608466
1,3,29,100,5.95,0.75
1,4,0,90.6666666666667,0.705882352941176,1.45588235294118
1,4,9,93.547619047619,4.51287574413667,3.50122075819502
1,4,20,96.4285714285714,5.02434842249657,6.47222222222222
1,4,29,80,4.03125,2.265625
2,1,0,90.6666666666667,0.705882352941176,1.45588235294118
2,1,9,95.3333333333333,3.15,1.9
2,1,20,100,2.43386243386243,2.8015873015873
2,1,29,100,3.58333333333333,0.5
2,2,0,90.6666666666667,0.705882352941176,1.45588235294118
2,2,9,95.3333333333333,1.3,3.48
2,2,20,100,7.17241379310345,3.18103448275862
2,2,29,100,2.66979166666667,0
2,3,0,90.6666666666667,0.705882352941176,1.45588235294118
2,3,9,95.3333333333333,1.93516993211526,2.93814139703272
2,3,20,100,7.19987654320988,2.2
2,3,29,85,4.58823529411765,0
2,4,0,90.6666666666667,0.705882352941176,1.45588235294118
2,4,9,93.6091954022988,2.4181524506415,3.25218038407186
2,4,20,96.551724137931,5.38052721088435,1.48809523809524
2,4,29,95,3.98684210526316,0.263157894736842
3,1,0,90.6666666666667,0.705882352941176,1.45588235294118
3,1,9,95.3333333333333,2,0.81
3,1,20,100,4.46111111111111,2.17777777777778
3,1,29,100,3.63222222222222,1
3,2,0,90.6666666666667,0.705882352941176,1.45588235294118
3,2,9,95.3333333333333,0.33,0.5
3,2,20,100,4.25740740740741,4.77777777777778
3,2,29,100,2.05333333333333,0.825
3,3,0,90.6666666666667,0.705882352941176,1.45588235294118
3,3,9,95.3333333333333,1.70700476385581,0.402255411322227
3,3,20,100,4.90148148148148,1.24
3,3,29,100,2.37609649122807,0
3,4,0,90.6666666666667,0.705882352941176,1.45588235294118
3,4,9,93.6666666666667,1.01367971781001,0.641241578660795
3,4,20,96.6666666666667,4.61494252873563,3.36206896551724
3,4,29,95,2.57894736842105,0
1,1,0,90.6666666666667,0.705882352941176,1.45588235294118
1,1,9,90.3333333333333,0,0
1,1,20,90,8.06094454242602,4.09876543209876
1,1,29,75,3.18,1.44444444444444
1,2,0,90.6666666666667,0.705882352941176,1.45588235294118
1,2,9,95.3333333333333,0,0
1,2,20,100,7.19142857142857,3.65650793650794
1,2,29,80,1.25,0.6875
1,3,0,90.6666666666667,0.705882352941176,1.45588235294118
1,3,9,93.6666666666667,0,0
1,3,20,96.6666666666667,12.3747126436782,1.37586206896552
1,3,29,95,6.73684210526316,1.68421052631579
1,4,0,90.6666666666667,0.705882352941176,1.45588235294118
1,4,9,90.3333333333333,0,0
1,4,20,90,6.95912208504801,1
1,4,29,95,5.1140350877193,0
